unit_id,worldpop_sum,worldpop_mean_pixel,worldpop_pixel_count,unit_area_m2,worldpop_density_per_km2
plot_7926,73.9299545288086,73.9299545288086,1,6611.44133903402,11182.123645614967
plot_7924,72.25703430175781,72.25703430175781,1,2223.517096358979,32496.729807060667
plot_7970,0.0,0.0,0,2863.3346814654706,0.0
plot_18993,78.27247619628906,78.27247619628906,1,2084.579448091748,37548.32960093737
plot_11544,75.04017639160156,75.04017639160156,1,4320.453543276671,17368.58772810468
plot_7811,0.0,0.0,0,590.5844755563244,0.0
plot_7798,0.0,0.0,0,892.1240358580337,0.0
plot_7809,0.0,0.0,0,4421.173693803613,0.0
plot_9402,75.9414291381836,75.9414291381836,1,875.4704856315738,86743.56290080829
plot_9427,74.41918182373047,74.41918182373047,1,3766.0480110162157,19760.550477860073
plot_15779,0.0,0.0,0,1611.7183023173518,0.0
plot_15717,0.0,0.0,0,1611.7183023173518,0.0
plot_15757,0.0,0.0,0,4886.177796661209,0.0
plot_7967,70.03881072998047,70.03881072998047,1,4053.657165482252,17277.931475403435
plot_18335,0.0,0.0,0,3649.658002562054,0.0
plot_18336,0.0,0.0,0,428.73526098175694,0.0
plot_7964,177.09442138671875,177.09442138671875,1,4641.528921161461,38154.328971067574
plot_18216,331.5352249145508,110.5117416381836,3,19439.7654879525,17054.486851706864
plot_18215,366.0135192871094,183.0067596435547,2,11714.522027330506,31244.42622867441
plot_18217,361.47242736816406,180.73621368408203,2,13676.24254959226,26430.68270085199
plot_18218,181.54661560058594,181.54661560058594,1,7751.311513995082,23421.406206266052
plot_11952,0.0,0.0,0,719.9942501296198,0.0
plot_11911,0.0,0.0,0,1491.2414156524042,0.0
plot_15735,151.10055541992188,75.55027770996094,2,4886.177796661209,30924.08047925946
plot_15688,0.0,0.0,0,7612.261911145875,0.0
plot_15638,71.73370361328125,71.73370361328125,1,7612.261911145875,9423.441343794115
plot_15698,0.0,0.0,0,4712.494119193429,0.0
plot_15782,79.60198211669922,79.60198211669922,1,4712.494119193429,16891.688372085133
plot_15781,0.0,0.0,0,13695.413782139241,0.0
plot_15697,80.12432861328125,80.12432861328125,1,13695.413782139241,5850.449638679389
plot_15751,0.0,0.0,0,19379.551409262196,0.0
plot_15776,224.82901000976562,74.94300333658855,3,19379.551409262196,11601.352645464829
plot_15734,0.0,0.0,0,9369.49468124762,0.0
plot_16284,173.27442932128906,173.27442932128906,1,8116.007582010125,21349.7125982691
plot_7925,136.7323226928711,68.36616134643555,2,14671.816699393983,9319.385969327084
plot_16283,152.76578521728516,76.38289260864258,2,22218.084664215112,6875.740529665582
plot_8229,80.90304565429688,80.90304565429688,1,11569.958513429394,6992.509572129555
plot_7966,78.66968536376953,78.66968536376953,1,3069.2949490583856,25631.191094197133
plot_7965,0.0,0.0,0,3909.1343626936155,0.0
plot_19595,0.0,0.0,0,2941.6564101233616,0.0
plot_19479,323.0535125732422,161.5267562866211,2,11747.823835282885,27499.008931594446
plot_10502,0.0,0.0,0,2587.422685014715,0.0
plot_18119,0.0,0.0,0,6880.086099274263,0.0
